timestamp,team1_name1,team1_name2,team1_name3,score1,team2_name1,team2_name2,team2_name3,score2
2026-01-19T06:11:14.461000+00:00,gentle,shan,jib,5,pikeman,ella,anon,4
2026-01-19T06:31:58.674000+00:00,shan,kaiferno,jib,2,kami,gentle,pikeman,5
2026-01-19T06:31:58.674000+00:00,shan,kaiferno,jib,5,kami,gentle,pikeman,4
2026-01-19T06:36:47.125000+00:00,gentle,kaiferno,shan,1,kami,ella,pikeman,5
2026-01-19T06:36:47.125000+00:00,gentle,kaiferno,shan,1,kami,ella,pikeman,5
2026-01-19T06:40:52.581000+00:00,jib,gentle,kaiferno,5,kami,ella,pikeman,3
2026-01-20T00:07:04.430000+00:00,jib,popop,hawk,2,kami,toph,mai,5
2026-01-20T00:07:04.430000+00:00,jib,popop,hawk,1,kami,toph,mai,5
2026-01-20T00:18:37.605000+00:00,kami,toph,hawk,5,shan,kaiferno,mai,2
2026-01-20T00:18:37.605000+00:00,kami,toph,hawk,5,shan,kaiferno,mai,2
2026-01-20T00:34:49.304000+00:00,toph,jib,popop,5,shan,kaiferno,mai,2
2026-01-20T00:34:49.304000+00:00,toph,jib,popop,5,shan,kaiferno,mai,2
2026-01-20T00:48:53.343000+00:00,kami,popop,jib,5,toph,shan,hawk,4
2026-01-20T00:52:58.472000+00:00,shan,kami,hawk,5,jib,toph,stella,1
2026-01-20T00:52:58.472000+00:00,shan,kami,hawk,2,jib,toph,stella,5
2026-01-20T00:52:58.472000+00:00,shan,kami,hawk,2,jib,toph,stella,5
2026-01-20T01:17:48.423000+00:00,shan,kaiferno,mai,5,toph,popop,katie,4
2026-01-20T05:16:56.938000+00:00,shan,kaiferno,nae,5,aster,jinsye,anon,4
2026-01-20T05:16:56.938000+00:00,shan,kaiferno,nae,5,aster,jinsye,anon,1
2026-01-20T05:26:13.663000+00:00,shan,kaiferno,jinsye,5,aster,ella,kami,1
2026-01-20T05:26:13.663000+00:00,shan,kaiferno,jinsye,5,aster,ella,kami,3
