timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-10-26T23:46:39.525000+00:00,kami,ella,toph,5,akil,eri,pike,3
2025-10-28T11:30:03.837000+00:00,kami,bapsy,neptune,1,gentle,ash,blowpop,5
2025-10-28T11:34:10.882000+00:00,kami,wraith,bapsy,5,ash,gentle,shan,3
2025-10-28T11:40:13.355000+00:00,shan,bapsy,wraith,3,ash,popop,gentle,5
2025-10-28T11:46:03.809000+00:00,kami,ash,gentle,5,wraith,neptune,bapsy,3
2025-10-28T11:51:54.993000+00:00,kami,shan,popop,2,bapsy,gentle,other,5
2025-10-28T11:56:33.074000+00:00,kami,shan,neptune,2,bapsy,ash,wraith,5
2025-10-28T12:06:32.136000+00:00,kami,gentle,shan,2,bapsy,wraith,ash,5
2025-10-29T20:25:41.999000+00:00,kami,ema,ella,5,ash,bapsy,E,0
2025-10-29T20:30:52.298000+00:00,gentle,ella,E,5,jib,ash,bapsy,4
2025-10-29T20:38:22.003000+00:00,kami,jib,ash,1,ella,gentle,E,5
2025-10-29T20:49:37.942000+00:00,kami,gentle,E,4,ella,ash,jib,5
2025-10-31T16:29:18.505000+00:00,kami,popop,nae,5,bapsy,herb,ash,1
2025-10-31T16:33:14.258000+00:00,kami,popop,nae,5,bapsy,herb,wraith,1
2025-10-31T17:01:31.682000+00:00,kaif,popop,nae,5,bapsy,herb,diddy,3
2025-10-31T17:10:13.475000+00:00,kami,popop,wraith,5,bapsy,herb,nae,3
2025-10-31T17:14:44.091000+00:00,kami,wraith,kaif,5,jib,bapsy,herb,0
2025-10-31T17:25:14.259000+00:00,kami,nae,kaif,5,jibs,bap,herb,4
2025-10-31T21:08:55.101000+00:00,kami,aster,bapsy,3,jib,toph,ash,5
2025-10-31T21:14:14.170000+00:00,kami,aster,neptune,4,jib,toph,ash,5
2025-10-31T21:18:19.241000+00:00,bapsy,aster,neptune,0,jib,toph,ash,5
2025-10-31T21:25:59.667000+00:00,kami,aster,bapsy,4,toph,ash,jib,5
2025-10-31T21:29:20.120000+00:00,kami,aster,bapsy,5,toph,neptune,ash,3
2025-11-01T18:25:35.436000+00:00,kami,popop,wraith,3,gentle,bapsy,toph,5
2025-11-02T08:43:58.925000+00:00,rxob,hawk,ash,4,kami,neptune,stella,4
2025-11-02T08:51:11.743000+00:00,kami,shan,stella,4,rxob,nae,ash,4
