timestamp,team1_name1,team1_name2,team1_name3,score1,team2_name1,team2_name2,team2_name3,score2
2026-02-04T16:16:27.167000+00:00,gentle,popop,katie,5,pikeman,ella,hawk,3
2026-02-04T16:26:23.703000+00:00,aster,popop,katie,3,pikeman,ella,hawk,5
2026-02-04T16:26:25.464000+00:00,aster,popop,katie,2,pikeman,ella,hawk,5
2026-02-04T17:06:34.309000+00:00,wraith,hawk,nae,5,popop,kaiferno,ash,0
2026-02-04T17:16:33.073000+00:00,kaiferno,popop,hawk,2,wraith,mai,ash,5
2026-02-04T17:23:02.115000+00:00,shan,wraith,ash,5,popop,hawk,mai,1
2026-02-04T17:30:17.351000+00:00,kaiferno,hawk,mai,5,shan,nae,ash,2
2026-02-04T17:34:00.705000+00:00,kaiferno,hawk,mai,1,eri,nae,ash,5
2026-02-04T17:37:29.489000+00:00,jib,kaiferno,mai,0,wraith,eri,nae,5
2026-02-04T17:41:55.386000+00:00,jib,kaiferno,mai,2,wraith,eri,nae,5
2026-02-04T17:50:38.333000+00:00,wraith,eri,hawk,5,jib,baps,mai,4
2026-02-04T17:51:03.462000+00:00,wraith,eri,hawk,5,jib,baps,mai,0
2026-02-04T17:56:46.409000+00:00,wraith,eri,hawk,3,jib,baps,mai,5
2026-02-04T18:05:01.028000+00:00,wraith,baps,hawk,5,jib,eri,mai,3
2026-02-04T18:19:30.284000+00:00,wraith,baps,hawk,5,eri,ella,mai,4
